osm_id,code,fclass,name,lat,Long
"7162019758","2303",cafe,,3.8714648,11.5397428
"7162028385","2303",cafe,,3.8750086,11.5376150
"7162028386","2303",cafe,Chez Issa,3.8747857,11.5378711
"7162036576","2303",cafe,,3.8742682,11.5402756
"7162036577","2303",cafe,,3.8741070,11.5399650
"7162036578","2303",cafe,,3.8737953,11.5405495
"7162038214","2303",cafe,,3.8733630,11.5403126
"7162038215","2303",cafe,,3.8733789,11.5407382
"7162038216","2303",cafe,,3.8733619,11.5412426
"7162049122","2001",police,,3.8692509,11.4266691
"7162052207","2001",police,Brigade De Nkolbisson,3.8757511,11.4548235
"7162101172","2503",kiosk,,3.8739049,11.4647579
"7162101173","2503",kiosk,,3.8739101,11.4647897
"7162101174","2503",kiosk,,3.8741635,11.4647203
"7162101175","2503",kiosk,,3.8742387,11.4661652
"7162107431","2121",dentist,,3.9011634,11.5471606
"7162109263","2503",kiosk,Parifoot,3.8749366,11.4313558
"7162109264","2503",kiosk,,3.8740329,11.4337732
"7162116435","2503",kiosk,Pmuc,3.8972858,11.4550757
"7162116436","2503",kiosk,,3.8966657,11.4557384
"7162116437","2503",kiosk,,3.8980327,11.4546393
"7162116784","2120",doctors,,3.8707388,11.5341385
"7162120542","2401",hotel,Elle Cabana,3.8931093,11.4553747
"7162121353","2503",kiosk,,3.8717408,11.4816776
"7162121354","2503",kiosk,,3.8736585,11.4783789
"7162121355","2503",kiosk,,3.8736117,11.4784639
"7162122771","2120",doctors,,3.8786179,11.5544575
"7162122772","2120",doctors,,3.8786108,11.5535630
"7162129861","2401",hotel,Km Hôtel,3.8953270,11.4560708
"7162130138","2401",hotel,Mo'o Sa'a Palace,3.8718554,11.4740181
"7162132855","2503",kiosk,,3.8754919,11.4741297
"7162132856","2503",kiosk,Express Union Box,3.8754587,11.4743024
"7162132857","2503",kiosk,Pmuc,3.8752552,11.4742947
"7162132858","2503",kiosk,Rois Bet,3.8747151,11.4754196
"7162132859","2503",kiosk,Orange Money,3.8750108,11.4748835
"7162132860","2503",kiosk,Roisbet,3.8752828,11.4747923
"7162132861","2503",kiosk,Orange /mtn,3.8752626,11.4749611
"7162132862","2503",kiosk,Express Union,3.8751872,11.4751292
"7162132906","2503",kiosk,Parifoot,3.8839671,11.4531968
"7162132907","2503",kiosk,Rosbet,3.8839836,11.4532006
"7162132908","2503",kiosk,Express Union,3.8870122,11.4591289
"7162132909","2503",kiosk,Roisbet,3.8890526,11.4558028
"7162132910","2503",kiosk,,3.8893136,11.4558328
"7162132911","2503",kiosk,,3.8892913,11.4558179
"7162133935","2503",kiosk,,3.8808045,11.4796782
"7162135797","2014",arts_centre,Commission Nationale Pour La Promotion Du Bilinguisme Et Du Multiculturalisme,3.8610361,11.5218014
"7162135798","2014",arts_centre,Maison Don Bosco,3.8609078,11.5226974
"7162136068","2120",doctors,,3.8725037,11.5321919
"7162138090","2503",kiosk,,3.8751733,11.4684389
