"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2009","Kilowatts,  thousand","303",""
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2008","Kilowatts,  thousand","217.9",""
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2007","Kilowatts,  thousand","202.5",""
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2006","Kilowatts,  thousand","70","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2005","Kilowatts,  thousand","70","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2004","Kilowatts,  thousand","70","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2003","Kilowatts,  thousand","70","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2002","Kilowatts,  thousand","70","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2001","Kilowatts,  thousand","70","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2000","Kilowatts,  thousand","71","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","1999","Kilowatts,  thousand","71","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","1998","Kilowatts,  thousand","71","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","1997","Kilowatts,  thousand","75","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","1996","Kilowatts,  thousand","75","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","1995","Kilowatts,  thousand","75","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","1994","Kilowatts,  thousand","75","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","1993","Kilowatts,  thousand","75","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","1992","Kilowatts,  thousand","75","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","1991","Kilowatts,  thousand","75","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","1990","Kilowatts,  thousand","75","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2019","Kilowatts,  thousand","650","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2018","Kilowatts,  thousand","650","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2017","Kilowatts,  thousand","650","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2016","Kilowatts,  thousand","650","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2015","Kilowatts,  thousand","650","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2014","Kilowatts,  thousand","592","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2013","Kilowatts,  thousand","400","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2012","Kilowatts,  thousand","300","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2011","Kilowatts,  thousand","300","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2010","Kilowatts,  thousand","300","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2009","Kilowatts,  thousand","300","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2008","Kilowatts,  thousand","300","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2007","Kilowatts,  thousand","300","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2006","Kilowatts,  thousand","250","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2005","Kilowatts,  thousand","230","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2004","Kilowatts,  thousand","205",""
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2003","Kilowatts,  thousand","200",""
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","2002","Kilowatts,  thousand","190",""
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","1999","Kilowatts,  thousand","23","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","1998","Kilowatts,  thousand","23","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","1997","Kilowatts,  thousand","22","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","1996","Kilowatts,  thousand","22","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","1995","Kilowatts,  thousand","22","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","1994","Kilowatts,  thousand","22","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","1993","Kilowatts,  thousand","22","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","1992","Kilowatts,  thousand","22","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","1991","Kilowatts,  thousand","22","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer combustible fuels","1990","Kilowatts,  thousand","22","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, solar","2019","Kilowatts,  thousand","19","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, solar","2018","Kilowatts,  thousand","19","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, solar","2017","Kilowatts,  thousand","12","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, solar","2016","Kilowatts,  thousand","12","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, solar","2015","Kilowatts,  thousand","10","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, solar","2014","Kilowatts,  thousand","7","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, solar","2013","Kilowatts,  thousand","5","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, solar","2012","Kilowatts,  thousand","4","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, solar","2011","Kilowatts,  thousand","3","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, solar","2010","Kilowatts,  thousand","1","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, solar","2009","Kilowatts,  thousand","1","1"
"Cameroon","Electricity - net installed capacity of electric power plants public solar","2019","Kilowatts,  thousand","19","1"
"Cameroon","Electricity - net installed capacity of electric power plants public solar","2018","Kilowatts,  thousand","19","1"
"Cameroon","Electricity - net installed capacity of electric power plants public solar","2017","Kilowatts,  thousand","12","1"
"Cameroon","Electricity - net installed capacity of electric power plants public solar","2016","Kilowatts,  thousand","12","1"
"Cameroon","Electricity - net installed capacity of electric power plants public solar","2015","Kilowatts,  thousand","10","1"
"Cameroon","Electricity - net installed capacity of electric power plants public solar","2014","Kilowatts,  thousand","7","1"
"Cameroon","Electricity - net installed capacity of electric power plants public solar","2013","Kilowatts,  thousand","5","1"
"Cameroon","Electricity - net installed capacity of electric power plants public solar","2012","Kilowatts,  thousand","4","1"
"Cameroon","Electricity - net installed capacity of electric power plants public solar","2011","Kilowatts,  thousand","3","1"
"Cameroon","Electricity - net installed capacity of electric power plants public solar","2010","Kilowatts,  thousand","1","1"
"Cameroon","Electricity - net installed capacity of electric power plants public solar","2009","Kilowatts,  thousand","1","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2019","Kilowatts,  thousand","1018.7",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2018","Kilowatts,  thousand","1018.7",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2017","Kilowatts,  thousand","1403.792",""
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2016","Kilowatts,  thousand","1294.2","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2015","Kilowatts,  thousand","1259.2","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2014","Kilowatts,  thousand","1256.2","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, main activity","2013","Kilowatts,  thousand","1276",""
